Characteristic;Description;Level;Level Description;Related Work;Activities;Tool;Recommendation;Priority
;;4;"Drive and scale consistent prioritization logic across teams and initiatives.
Facilitate cross-functional prioritization alignment.
Balance short-term vs long-term and innovation vs optimization initiatives.
Coach others on how to prioritize effectively under ambiguity.
";"Product Ops supporting roadmap rituals
Tech leads providing effort estimations at scale
";"Run prioritization at portfolio/theme level
Align dependencies across multiple teams
Balance short-term impact vs long-term strategy initiatives
";"Aha! / Roadmunk / airfocus – for scalable roadmap strategy
Figma + Miro – to co-create prioritization logic with designers/devs
Looker/Tableau – for building business-case visuals and metrics
";"Create a team-wide prioritization playbook
Mentor junior PMs on decision frameworks
Facilitate roadmap alignment across departments (e.g., marketing, ops)
";
;;5;"Establish organization-wide prioritization principles that align with strategic bets.
Define and evangelize prioritization frameworks tied to OKRs or business bets.
Ensure alignment between roadmap prioritization and company strategy.
Audit and refine the portfolio mix across teams or domains (e.g., Core vs Growth vs Expansion).
";"Leadership defining strategic bets
Finance and strategy teams evaluating opportunity cost of features

";"Set prioritization philosophy/org principles (e.g., OKRs first, then user feedback)
Align team-level prioritization with executive bets
Audit portfolio balance (core vs expansion vs innovation)
";"Coda / Notion Systems – to build living prioritization engines
Company dashboards (custom SQL, OKR tracking)
Executive brief templates (pitch decks, ROI estimates, prioritization logic)
";"Define a scalable prioritization framework for the org
Host quarterly prioritization calibration sessions across departments
Speak publicly about prioritization in complex environments
";
Communication;Effectiveness in clearly articulating product ideas, status, and rationale.;1;"Understand the importance of communication and observe how others do it.
Begin observing how product communication differs by audience and intention.";"QA reporting bugs clearly
Designers explaining rationale in reviews

";"Listen in stakeholder meetings and sprint planning
Document meeting notes
Ask clarifying questions during discussions
Listen to how PMs brief engineers during standups
Summarize meeting takeaways in written form
Observe stakeholder or customer meetings";"Slack – for clear async communication
	Google Docs / Notion – basic product doc formatting
	Loom – intro to async video updates";"	Course: Writing for Product Managers – Reforge or Maven
	Book: Made to Stick by Chip & Dan Heath
	TED Talk: Talk Nerdy to Me by Melissa Marshall

—-
Summarize a meeting or spec and ask for feedback
Write short “problem / solution” updates to teammates
Observe how senior PMs frame decisions

Internal: within the PM team, 1:1 updates
Passive observation of customer / exec interaction

";"Communication in product management is the ability to effectively craft and deliver messages — verbal, written, and visual — tailored to diverse audiences across varying levels of context, authority, and domain expertise. This includes:
Cross-functional team alignment (e.g., engineers, designers)
Internal stakeholder engagement (e.g., C-level, sales, ops)
Peer PM knowledge sharing
End-user communication (B2B/B2C)
Product presentations at internal and external forums
Framing product rationale, vision, and roadmap in a way that inspires action
"
;;2;"Develop clarity in written and verbal communication; adapt tone for context.
Start actively communicating across peers and small groups with clarity and structure";"Designers running design critiques
Sales presenting product capabilities to prospects
";"Write specs or sprint updates
Facilitate team check-ins or demos
Summarize feedback into themes and action items
Write backlog grooming notes or feature summaries for engineers
Present updates in sprint reviews or PM syncs
Respond to B2B/B2C customer inquiries with help
";"	Confluence / Notion – organizing living product docs
	Loom / Miro – visual + async collaboration
	Zoom / Google Meet – for small stakeholder briefings";"	Course: [Product Communication Mastery – Canny or Product Alliance]
	Book: Crucial Conversations
	Podcast: Lenny’s Podcast (episode with Jackie Bavaro)
🚀 Growth Recommendations:
Practice storytelling in weekly updates
Run a dry run of your stakeholder presentation and get feedback
Write 1-pager decisions or trade-offs
Internal: to engineers and peer PMs
Customers: light participation in user interviews or support follow-up
Internal events: team-level demo or update
";
;;3;"Communicate effectively with all audiences and in various formats; own the product narrative.
Own the communication of your product area across internal and external touchpoints.";"Marketing writing launch copy
Customer Success teams translating product changes for users";"Lead sprint reviews and cross-functional updates
Present roadmap and trade-offs to leadership
Document decisions with context and rationale
Lead feature deep-dives for engineering
Present your roadmap to internal stakeholders
Represent your team in all-hands or town halls
Write customer-facing release notes
";"Google Slides / Pitch – for high-quality presentation decks
Asana / Linear – for clear status updates
Miro / Figma – for visual storytelling in discovery
";"	Book: Influence Without Authority by Cohen & Bradford
	Course: [Product Leadership Communication – Product School]
	Workshop: Storytelling for Business (General Assembly / IDEO U)
🚀 Growth Recommendations:
Create a reusable presentation template for stakeholder updates
Hold regular async updates and track engagement
Frame decisions using a consistent “Why / What / Impact” structure
Internal: with cross-functional teams, leads, mid-management
External: speaking with end users or B2B accounts in feedback loops
Presenting at internal showcases

";
;;4;"Scale communication across teams; shape shared language and communication rituals.
Define and improve communication rituals and strategy at the team or department level.";"People Ops shaping internal communication culture
Customer Experience crafting response scripts
";"Define and lead quarterly roadmap communications
Build templates for specs, PRDs, or release notes
Guide teams on feedback loops (internal and user-facing)
Standardize formats for roadmap docs or stakeholder updates
Coach junior PMs on clear writing and presentations
Act as liaison between C-level and team
Design internal communication systems
";"Notion (template creation, doc management at scale)
Miro / Coda (narrative and framework communication)
Internal comms platforms like Slite or Guru
";"	Book: Radical Candor by Kim Scott
	Course: [Stakeholder Management – Reforge]
	YouTube: “Amazon 6-pager writing culture”
🚀 Growth Recommendations:
Lead a communication audit of your team: what’s working, what’s noisy
Run async project updates across time zones
Mentor junior PMs on framing and stakeholder alignment
Internal: executive and cross-team alignment
External: client escalation calls, power users
Internal events: quarterly reviews, leadership check-ins

";
;;5;"Shape the product narrative across the org; influence through storytelling, clarity, and alignment.
Shape and scale the product narrative across the company and external landscape.";"Founders pitching vision to investors
Brand / comms teams crafting narrative consistency

";"Define product communication strategy (vision, updates, launches)
Represent product org in exec reviews or board meetings
Influence communication culture across the company
Present product vision at exec briefings, board updates, or public events
Write or deliver keynote-style product updates internally
Craft narrative for investor decks, PR, and external partnerships
Train others in high-impact messaging

";"	Coda / Notion Systems – for scalable internal documentation
	Loom or Descript – for async, high-context storytelling
	OKR dashboards – for data-backed storytelling";"	Book: Narrative and Numbers by Damodaran
	Advanced storytelling workshops (IDEO U, Duarte, etc.)
	Exec coach for strategic communication and presence
🚀 Growth Recommendations:
Craft and pitch a unified story that links roadmap, vision, and customer value
Mentor senior PMs and cross-functional leaders on storytelling
Lead executive product updates with a narrative arc
External: public speaking, conferences, customer summits
Internal: aligning roadmap with OKRs, CEO & board influence
Media: blog posts, podcast guesting, thought leadership
";
Strategy & Vision;"Ability to shape product direction based on goals, vision, and market trends.
The ability to shape, communicate, and evolve a long-term direction for a product that aligns with business objectives, customer needs, and market dynamics. It includes market understanding, product positioning, goal setting, and influencing others with a coherent, inspiring product vision.
";1;Understand what product strategy and vision are, and how they guide product decisions.;"Designers learning about product goals to align UX strategy
Junior marketers translating strategic points into messaging
Peer PM or Associate PM
Shares early-stage product context and backlog structure
Engineering Lead
Explains technical constraints that influence product direction
Design / UX
Introduces how user journeys and research tie into product choices
Product Manager (more senior)
Models how product strategy is communicated and applied

PM focus: Learn to ask “why now?” and trace product decisions back to strategic direction.";"Read product strategy documents, vision decks, or OKRs
Attend vision reviews and observe how direction is communicated
Ask questions about why something is on the roadmap";"Notion / Confluence – to read strategic documentation
Miro – to visualize value chains and customer journeys
Google Docs – for summarizing strategic insights
";"	Book: Inspired by Marty Cagan
	Podcast: Lenny’s Podcast (Strategy-focused episodes)
	Course: Product Strategy Fundamentals (Maven, Reforge preview)
🚀 Growth Recommendations:
Ask your PM or team: “Why are we solving this problem now?”
Read company strategy docs and write your own 1-paragraph summary
Follow product leaders and strategy thinkers on LinkedIn
";
;;2;Begin contributing to strategic thinking through discovery, data, and customer context.;"Marketing identifying underserved segments
UX leading opportunity mapping or discovery interviews
UX Researcher / Designer
Helps surface validated user needs and opportunity areas
Customer Support / Success
Offers real-world friction points and qualitative feedback
Marketing or Growth
Provides customer segmentation, early funnel data
Sales (esp. in B2B)
Surfaces repeat customer objections and strategic feature asks

🔄 PM focus: Co-create strategy inputs from user pain, usage data, or market signals.
";"Identify customer pain points worth solving
Propose strategic themes or opportunities to explore
Suggest metrics to evaluate strategic bets
";"	Google Sheets / Looker – for data-backed hypothesis generation
	Miro / Figma – to map strategy assumptions or opportunity spaces
	Productboard / Jira – to connect strategy to delivery";"	Book: Playing to Win by Lafley & Martin
	Course: Reforge’s Product Strategy (starter level)
	Video: Teresa Torres on Opportunity Solution Trees
🚀 Growth Recommendations:
Write a strategy brief for one product area
Participate in discovery research and map findings to goals
Practice “zooming out” from features to themes to bets
";
;;3;"Own and evolve the strategy for a product or domain; communicate its vision with clarity.";"BizOps or Finance testing new business models
Sales creating customer segmentation strategy
Engineering Manager / Architect
Provides feasibility and scaling implications for bets
Marketing Lead / Growth PM
Aligns product goals with acquisition and retention strategy
Finance / BizOps
Shares revenue data, cost structures, and ROI modeling
Customer Success Manager (CSM)
Advocates for key account goals, renewals, and health scores

🔄 PM focus: Partner closely with each domain to validate assumptions and align strategy to measurable outcomes.
";"Define a product vision that aligns with customer and business goals
Choose and justify product direction based on constraints and trade-offs
Present strategic roadmap to stakeholders and defend it";"Notion / Coda – for vision documents, strategy articulation
Miro / Lucidchart – for business model canvases or vision boards
Amplitude / Mixpanel – to tie product metrics to strategic outcomes
";"	Book: Good Strategy Bad Strategy by Richard Rumelt
	Workshop: Strategy Sprint by Strategzer or Product Academy
	Read: Casey Winters’ essays on strategy and roadmapping
🚀 Growth Recommendations:
Align your roadmap with a vision doc you’ve written
Practice “kill a feature” or “double down” scenarios with your team
Facilitate a visioning or positioning session
";
;;4;Guide and align multiple teams or products with a cohesive strategy.;"Executive Ops running planning cycles
GTM teams aligning launch strategy with roadmap
Product Ops / Program Manager
Ensures OKR/strategy alignment across teams
Sales Leadership / Partnerships
Provides market lens for strategic alliances and expansion
Design Director / UX Lead
Shapes the long-term UX direction aligned with product vision
Customer Insights / Analytics
Models retention curves, TAM, and market segmentation

🔄 PM focus: Cross-team orchestration — ensuring all parts of the org operate with shared strategic context.
";"Synthesize input from multiple teams into a unified strategy
Align vision with company goals, OKRs, or go-to-market strategy
Guide teams on how to test and evolve their strategic assumptions";"Coda / Airtable – to model strategy across product lines
Power BI / Tableau – for strategy reporting dashboards
Positioning Canvas, Lean Canvas – for product-market fit tracking
";"	Book: Escaping the Build Trap by Melissa Perri
	Course: Reforge Advanced Product Strategy
	Blog: Ben Horowitz, Brian Balfour, and Gib Biddle's frameworks
🚀 Growth Recommendations:
Create a scalable model for strategic alignment (e.g., vision framework + roadmap)
Facilitate offsites or strategy sprints
Mentor other PMs on how to evolve hypotheses into bets
";
;;5;Define and evangelize product strategy as a competitive advantage and cultural foundation.;"Founders and CPOs defining future bets
Board members evaluating strategic alignment
CEO / CPO / Founder
Collaborate on long-term product bets and business vision
Board / Investors / Strategic Advisors
Provide macro-trends, market forces, and value prop validation
Legal / Policy / Compliance
Influence product direction in regulated domains (e.g., finance, health)
Public Relations / Comms
Shape external narrative around product and strategic moves

🔄 PM focus: Define the product future and ensure it is both bold and feasible. Influence high-stakes decisions and external positioning.
";"Set long-term product bets in collaboration with executives
Shape portfolio strategy across products or business units
Communicate vision at public or investor-facing forums
Influence org structure or business model based on product strategy
";"Custom frameworks built in Coda, Notion, or Whimsical
Investor-grade pitch decks / narrative slides
Company OKR systems to align vision to execution
";"	Book: The Advantage by Patrick Lencioni
	Exec Course: Stanford Exec Ed – Strategy & Leadership
	Keynotes: Watch Airbnb, Figma, or Notion’s vision speeches
🚀 Growth Recommendations:
Write a 3-year vision deck and test it with leadership
Lead cross-functional vision alignment for the org
Represent the product org at public speaking engagements or exec councils
";
Customer Discovery;"Capability to understand user needs through interviews and research.

The continuous practice of engaging with users, customers, and stakeholders to deeply understand their behaviors, problems, motivations, and unmet needs — and to validate product direction, reduce risk, and build with confidence.";1;"Understand why customer discovery matters and begin observing user insights in action

Understand why customer discovery matters and begin observing user insights in action.";"UX Researchers — conduct interviews, synthesize findings
Customer Support — handle real-world user friction
CS Reps — share churn reasons, success blockers

";"Attend user interviews as a silent observer
Read past interview summaries or product feedback
Watch support tickets, NPS comments, or call transcripts";"Dovetail / Condens – for user research repositories
Typeform / Google Forms – to view how surveys are run
Zoom / Google Meet – for live discovery calls
";"	Book: The Mom Test by Rob Fitzpatrick
	Course: “Customer Discovery” – Maven or Product School
	YouTube: Teresa Torres' talks on continuous discovery
🚀 Growth Recommendations:
Shadow a researcher or PM running discovery
Summarize 3 user quotes and map them to product issues
Learn the difference between problem vs solution space
";"1. Customer Discovery (micro-level)
Focuses on direct engagement with users/customers to understand needs, behavior, and product fit. → ""What pain are we solving, for whom, and why now?""
✅ Most relevant for:
Feature ideation
UX improvements
Product-market fit work
Early-stage B2C or B2B products

🌍 2. Product & Market Discovery (macro-level)
Focuses on the ecosystem: competitors, industry shifts, TAM, buyer needs, business goals, pricing, innovation gaps. → ""Where is the market heading, and how do we strategically place ourselves to win?""
✅ Most relevant for:
Market expansion
Positioning and value prop
B2B strategy, enterprise sales, platform plays
New vertical exploration (e.g. fintech, healthtech)
Outsourcing or service-based PMs researching client opportunities

🔄 How They Interact:
Situation
Primary Discovery Domain
Why
Building a new user-facing feature
Customer Discovery
Understand pain → validate ideas
Entering a new region or market
Market Discovery
Map competition, trends, regulations
Shaping product vision
Both
Align vision with needs and market evolution
Working with enterprise clients
Market Discovery
Deep dive into buying triggers, budget cycles, legal blockers
Designing onboarding flow
Customer Discovery
Usability, expectations, activation steps
Creating consulting proposal (outsourcing)
Market Discovery
Industry maturity, buyer personas, trends


🧠 PM Scope Implication:
You can split or nest these under a broader label like:
🔍 Discovery (Customer & Market) or
Use two separate characteristics:
Customer Discovery
Product & Market Discovery

✅ What to Add to PM Scope for Product & Market Discovery:
🧩 Activities (by grade):
Competitive landscape mapping
Value chain / ecosystem analysis
ICP definition, JTBD from business buyers
TAM/SAM/SOM sizing
Innovation scouting (adjacent spaces)
GTM / positioning analysis
📊 Tools:
Crunchbase / Pitchbook / Similarweb / Statista
Ahrefs / SEMrush / G2 / Capterra
Market Map templates (CB Insights style)
Lean Canvas / Business Model Canvas
📚 Learning:
Book: Blue Ocean Strategy, Crossing the Chasm, Obviously Awesome
Course: Reforge Growth Strategy, Strategyzer Academy
Podcasts: Masters of Scale, 20VC, Acquired.fm

🤔 For PMs in outsourcing / service companies:
They often act like product consultants. PMs need to:
Understand client industries & challenges
Frame solutions that align with business goals not just features
Use discovery to sell trust and insight, not just delivery
This elevates discovery from tactical feature planning to strategic business partnership.
"
;;2;Run basic discovery activities and synthesize inputs into clear signals.;"Designers — facilitate usability tests or journey maps
Product Marketing — gather voice-of-customer insights
Sales — relay prospect pain during qualification
";"Conduct lightweight interviews (internal users or friendly testers)
Use surveys to validate pain points or interest
Share discovery notes in a structured format with the team
";"	Miro / FigJam – to map pain points and opportunities
	Google Sheets / Airtable – organize and cluster insights
	Calendly / Maze – to schedule and automate user research";"	Book: Continuous Discovery Habits by Teresa Torres
	Course: User Research for PMs – Product Alliance
	Resource: Opportunity Solution Tree (OST) framework
🚀 Growth Recommendations:
Run your first end-to-end user interview
Cluster feedback into patterns and share a short report
Practice asking problem-focused, non-leading questions
";
;;3;Own the discovery process for your product or feature and influence roadmap through insight.;"Tech Lead — feasibility discussion for discovered needs
Data Analyst — enrich insights with usage data
CS/Success — input into user segmentation for discovery

";"Plan and run regular discovery sprints with customers
Translate findings into opportunities and prioritized problems
Create OSTs or assumption maps to link insights to outcomes
";"Dovetail / EnjoyHQ – tagging and theme building
Miro + OST framework – track product discovery over time
Hotjar / FullStory / Mixpanel – behavioral insights
";"	Podcast: Build with Maggie Crowley (user-first product stories)
	Guide: Intercom's Jobs-to-be-Done framework
	Workshop: Continuous Discovery Masterclass – by Teresa Torres
🚀 Growth Recommendations:
Schedule recurring discovery interviews (weekly or biweekly)
Involve your team in synthesis and decision-making
Start prioritizing problems, not solutions
";
;;4;Scale and institutionalize customer discovery across teams and orgs.;"Research Ops — manage recruitment, scheduling, consent
PMO / Product Ops — manage feedback-to-roadmap flow
UX Leads — standardize patterns across product areas

";"Build systems for discovery rituals (e.g. feedback tagging, insight sharing)
Mentor team members in running interviews and synthesis
Run assumption mapping or problem framing workshops
";"Dovetail + Zapier / Notion – auto-tag and share customer insights
Coda / Airtable – living repository of problems + signals
CRM integrations – to link customer accounts with feedback
";"	Book: Lean Customer Development by Cindy Alvarez
	Guide: Figma / Maze Playbooks for discovery at scale
	Article: “How to Build a Discovery Machine” – by Hiten Shah
🚀 Growth Recommendations:
Create a shared insights dashboard
Institutionalize discovery review rituals
Build a playbook to onboard others into customer discovery";
